/main$originNo,/main$no,/main$id,/main$changeYn,/main$name,/main$shoulder,/main$status,/main$editor,/main$create_time,/main$update_time,/hashtag,/entry_importance,/parts/part_id,/parts/means/tb_mean$excel_seq,/parts/means/origin_mean,/parts/means/mean_id,/parts/means/custom_field_1618478617845,/parts/means/custom_field_1618478675337,/parts/means/custom_field_1618478759648,/parts/means/custom_field_1618478959744,/parts/means/custom_field_1620198226283,/parts/means/custom_field_1620279904326,/parts/means/custom_field_1621872155340,/parts/means/custom_field_1621872185644,/parts/means/custom_field_1621872201495,/parts/means/custom_field_1621872208963,/parts/means/custom_field_1621872225913,/parts/means/custom_field_1624357879139,/parts/means/custom_field_1624357909352,/relateds/related_id,/relateds/related_type,/relateds/related_content,/relateds/related_entry_id,/custom_field_1628325084000,/custom_field_1619505925728,/learningMores/learning_info_title,/learningMores/learning_info_body_json,/learningMores/learning_info_id,/images/img_path,/images/img_title,/images/img_source
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a29c528205b441a68f4954c20762e27f,,작은 진리,a89a096b18324be9bdb7de812d8c09b0,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edd6844ac607403088c9410020405284,,"진리 (=여성, 관점적 진리)",dcc2b817dc464941972d7d582cd3a32c,,,,,,,,
194,106,0b0f700c0e934e249af4ce4211e47333,0,암탉,0,집필완료,팡민,2023-09-10 22:37:56,2023-09-10 22:37:56,비유,★★,f053076c279347b3b50a69a4be0762ca,1,"행위 이후의 망상에 의해 의식이 지배되어 죄의식에 빠진 범죄자를 의미한다. 

행위 이후의 망상은 범죄를 저지른 후 죄의식에 사로잡혀 자기경멸과 후회에 빠지는 것을 의미한다. 이러한 '망상'은 범죄인을 병리적 상태로 몰아넣는다. '행위 이후의 망상'에는 2가지 원인이 있는데, 그 중 하나는 자신이 실체적 주체라는 믿음이며 다른 하나는 자신을 자유의지의 주체로 여기는 태도다.",fdfdd94ef3ee4259a0bf983827d59a6d,"﹤한 가닥의 줄이 암탉을 꼼짝 못 하게 묶어 놓는 경우를 생각해 보라. 이와 마찬가지로 행위자를 묶은 줄이 자신의 가련한 이성을 속박하고 만 것이다. 나는 이것을 행위 이후의 망상이라고 부른다.﹥

- 1부 창백한 범죄자에 대하여 -",,"
백승영. (2022). 니체는 이렇게 말했다 : 『차라투스트라는 이렇게 말했다』에 대한 철학적·문학적 해석. 세창출판사.
최상욱. (2015). 차라투스트라는 이렇게 말했다 메타포로 읽기. 서광사.
이상범 L. S. (2020). 니체의 철학적 메타포 ’춤(Tanz)’에 대한 텍스트 내재적 분석. 철학연구, 151–177.
강용수. (2007). 니체의 『차라투스트라는 이렇게 말했다』의 밧줄에 대한 은유적 해석 - 춤의 공간적 구조에 대한 분석을 중심으로. 니체연구, 12, 171–199.
이진우, 『인생에 한번은 차라투스트라』, 휴머니스트출판그룹, 2020
백승영. (2005). 토픽맵에 기초한, 철학 고전 텍스트들의 체계적 분석 연구와 디지털 철학 지식지도 구축 - 니체『도덕의 계보』. 서울대학교 철학사상연구소.
백승영. (2006). 토픽맵에 기초한, 철학 고전 텍스트들의 체계적 분석 연구와 디지털 철학 지식지도 구축 - 니체『우상의 황혼』. 서울대학교 철학사상연구소.
박찬국, 『차라투스트라, 그에게 삶의 의미를 묻다』, 세창출판사, 2020.
박찬국, 『들뢰즈의『니체와 철학』읽기 』, 세창미디어, 2020.
김상환, 『니체 프로이트 맑스 이후 - 현대 프랑스철학의 쟁점 』, 창비, 2013.
진은영, 『니체, 영원회귀와 차이의 철학』, 그린비, 2007.
Friedrich Nietzsche. (2023). 니체, 사랑에 대하여 (울리히 베어 엮음, 최성희 번역). 세창출판사. (원서출판 2020).",,,,,,,,,,,4341edd294c64a4f86bf00d6d832e3c3,,행위 이후의 망상,6a4dbbbf2fda4b2697e2b20df95e3b92,,,,,,,,
195,107,0bb111228179468b9d91d3bd4322ae39,0,용기,0,집필완료,팡민,2023-04-27 22:57:23,2023-09-18 12:42:18,개념어,★★★★★,f053076c279347b3b50a69a4be0762ca,1,"삶을 부정하고 무겁게 끌어내리는 모든 가치를 파괴하는 힘. 스스로 자신만의 가치를 창조하기 위해서는 먼저 용기를 내어 기존의 삶을 부정하는 가치를 파괴해야 한다. 용기를 통해 파괴되고 극복되어야 하는 것들에는 기존의 형이상학적 이분법이나 초월세계, 인과율, 종교뿐만 아니라 자기보존이나 무리본능 같은 삶의 태도 또한 포함된다. 
",288dafa0956640e785ea3ca14ed94890,"﹤ 그러나 내게는 내가 용기라고 부르는 어떤 것이 있었다. 이것이 지금까지 나의 모든 좌절감을 죽여 왔다. 이 용기가 마침내 내게 걸음을 멈추고 말하라고 명령했다. “난쟁이여! 그대인가! 아니면 나인가!”

말하자면 용기는, 공격적인 용기는 최상의 살해자다. 왜냐하면 모든 공격에는 승리의 음악이 울려 퍼지기 때문이다.

인간은 가장 용감한 동물이다. 그리하여 인간은 모든 짐승을 극복했다. 승리의 음악을 울리면서 인간은 모든 고통을 극복했다. 인간의 고통은 더없이 깊은 고통이었음에도.

용기는 심연 앞에서의 현기증도 살해한다. 인간이 서 있는 곳 가운데 어디 심연 아닌 곳이 있던가! 본다는 것 자체가 심연을 들여다보는 것 아닌가?

용기는 최상의 살해자다. 용기는 동정도 살해한다. 동정이야말로 가장 깊은 심연임에도. 삶을 깊이 통찰하는 만큼 인간은 고통도 깊이 통찰한다.

그러나 용기는, 공격하는 용기는 최상의 살해자다. 이 용기는 죽음조차 살해한다. 왜냐하면 용기는 “그것이 삶이었던가? 좋다! 그러면 다시 한번!”이라고 말하기 때문이다.

이러한 말에는 승리의 음악이 힘차게 울려 퍼진다. 귀 있는 자는 들을지어다. ﹥

- 3부 환영과 수수께끼에 대하여 -



﹤그대들은 용기가 있는가, 아, 형제들이여? 그대는 대담한가? 목격자 앞에서의 용기가 아니라 어떤 신도 돌보아 주지 않는 은둔자의 용기와 독수리의 용기를 가졌는가?

차가운영혼, 노새, 장님, 술주정뱅이를 내가 대담하다고 이르는 것은 아니다. 공포를 알되 공포를 제어하는 자, 심연을 보되 긍지를 가지고 보는 자가 대담한 것이다.

심연을 보되 독수리의 눈으로 보는 자, 독수리의 발톱으로 심연을 붙드는 자, 그가 용감한 자이다.﹥

- 4부 보다 높은 인간에 대하여 -",,,,,"
용기는 위버멘쉬를 향한 길에 필수적인 덕목이다. 이는 서설의 줄타기 광대가 밧줄 위에서 전방위적으로 위험에 노출되어 있음에도 죽음을 무릅쓰고 용기를 내어 밧줄 위에서 춤추는 모습에서도 나타난다.  
",""" 그대들은, 좋은 명분이 전쟁조차 신성하게 만든다고 말하는가? 하지만 내 그대들에게 말하노니, 좋은 전쟁이 모든 명분을 신성하게 만드는 것이다.

이웃 사랑보다는 전쟁과 용기가 위대한 일을 더욱 많이 이루어 왔다. 지금까지 불행에 처한 사람들을 구해 낸 것은 그대들의 동정이 아니라 그대들의 용감함이었다.

무엇이 선이냐? 그대들은 묻는다. 대답하노니, 용감한 것이 선이다. 그러니 “선이란 아름다운 동시에 감동적인 것이다.”라는 말은 어린 소녀들의 입에서나 듣도록 하라. ""

- 1부 전쟁과 전사들에 대하여 - ",""" 그대들은 용기가 있는가, 아, 형제들이여? 그대는 대담한가? 목격자 앞에서의 용기가 아니라 어떤 신도 돌보아 주지 않는 은둔자의 용기와 독수리의 용기를 가졌는가?

차가운 영혼, 노새, 장님, 술주정뱅이를 내가 대담하다고 이르는 것은 아니다. 공포를 알되 공포를 제어하는 자, 심연을 보되 긍지를 가지고 보는 자가 대담한 것이다.

심연을 보되 독수리의 눈으로 보는 자, 독수리의 발톱으로 심연을 붙드는 자, 그가 용감한 자이다. ""

- 4부 차원 높은 인간에 대하여 -",""" 한 사물이 귀한 종에 속할수록 그것이 성공할 가능성은 더 적어진다. 그대 여기에 있는 차원 높은 인간들이여, 그대들 모두는 실패작이 아닌가?

용기를 내라, 그게 어쨌단 말인가! 얼마나 많은 일이 아직도 가능한가! 마땅히 웃어야 하는 방식으로 그대들 자신을 비웃는 것을 배우라!

그대들이 실패했고 반밖에 성공치 못했다 하더라도 무엇이 이상한가, 그대 반쯤 파멸한 자들이여! 그대들 속에서 거세게 밀치며 다가오지 않는가, 인간의 미래가?

인간의 가장 멀고 가장 깊고 별처럼 가장 높은 것, 인간의 엄청난 힘. 이러한 모든 것이 그대들의 항아리 속에서 서로 부딪치며 거품을 내지 않는가?

많은 항아리가 부서진다 해도 무엇이 이상한가! 마땅히 웃어야 하는 방식으로 그대들 자신에 대해 비웃는 것을 배우라! 그대 차원 높은 인간들이여, 아, 얼마나 많은 일이 아직도 가능한가! ""

- 4부 차원 높은 인간에 대하여 -",""" 인간은 짐승과 초인 사이에 놓인 밧줄이다. 심연 위에 걸쳐진 밧줄이다.

저쪽으로 건너가는 것도 위험하고 줄 가운데 있는 것도 위험하며 뒤돌아보는 것도 벌벌 떨고 있는 것도 멈춰 서는 것도 위험하다.

인간의 위대함은 그가 다리〔橋〕일 뿐 목적이 아니라는 데 있다. 인간이 사랑스러울 수 있는 것은 그가 건너가는 존재이며 몰락하는 존재이기 때문이다. ""

- 차라투스트라의 머리말 -",""" 그때 내가 본 수수께끼를 풀어 다오. 더없이 고독한 자가 본 환영을 설명해 다오!

그것은 하나의 환영이며 예견이었다. 그때 비유 속에서 나는 무엇을 보았던가? 그리고 언젠가 꼭 오고야 말 그자는 누구인가?

뱀이 목구멍 속으로 기어든 양치기는 누구인가? 가장 무겁고 가장 검은 것이 통째로 목구멍 속으로 기어들 인간은 누구인가?

여하간 양치기는 내가 고함을 쳐 말한 대로 물었다. 덥석 물었다! 뱀 대가리를 저 멀리 뱉어 버렸다. 그러고는 벌떡 일어섰다.

이제 양치기도 아니고 인간도 아닌, 변화한 자, 빛에 둘러싸인 자로서 그가 웃었다! 일찍이 지상에서 그가 웃듯이 웃은 자는 아무도 없었다!

아, 형제들이여, 나는 인간의 웃음이 아닌 웃음을 들었다. 그리고 이제 갈증이, 결코 잠재울 수 없는 동경이 나를 갉아먹는다. ""

- 3부 환영과 수수께끼에 대하여 -",,,e16f48d571304f23bba212039823a87e,,위버멘쉬(초인),f0d1244d59b045739b4b9983ca200268,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cefc3a148f747538af55fbb92e6598e,,줄타기 광대,921ac17c43144094b8f6c6280aeb130e,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ebf9fef52f7493498ea7fb6b01d2998,,영원회귀,ab1dcb03fe5c43d691d95b2c3aa787e2,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86646a478c994e61b2f6af16f11e5cd8,,독수리,1a30f8fc2562415fb3c14403ed56c726,,,,,,,,
199,108,0c98e210ace440688ed69027e23a720f,0,회초리,0,집필완료,팡민,2023-08-28 17:51:56,2023-08-28 17:51:56,비유,★★★★★,f053076c279347b3b50a69a4be0762ca,1,"위버멘쉬를 위한 양육의 채찍을 의미한다. 젊은 여자를 만날 때 회초리(채찍)을 챙기라는 노파의 작은 진리는 물론 여성혐오론으로 오해될 수도 있지만, 이 채찍은 젊은 여자가 남자를 위버멘쉬로 양육하기 위해 휘두르는 채찍일수도, 남성이 여성에게 휘두르는 것일수도, 혹은 소유자가 자신에게 휘두르는 채찍이 될 수도 있다.

젊은 여성은 위버멘쉬를 창조해낼 능력이 있는 존재다. 그러므로 젊은 여자는 위버멘쉬를 추구하는 남자의 의지를 촉발시키고 고무시키는 존재며, 채찍은 그녀의 수단인 것이다.

그런데 위버멘쉬는 인간 일반의 실존적 과제다. 그래서 양육의 수단인 채찍은 위버멘쉬를 추구하는 자를 위한 것이므로 여성의 자기 자신에 대한 양육의 채찍일수도 있고, 차라투스트라 본인이 여성을 위버멘쉬로 양육시키기 위해 휘두르는 것일 수도 있다. 채찍의 목적은 위버멘쉬의 양육이다. 그래서 채찍 메타포는 디오니소스적 양육에 대한 상징이다.

작은 진리가 위험한 이유는 그것이 많은 혼란과 소요를 일으킬 수 있기 때문이다. 여성비하적이거나 여성폄하적인 의미로 읽히는 것 또한 그 중 하나일 것이다.",4f3a1b67fec0411a98080deb676dd91f,"﹤ 참으로 형제여! 차라투스트라가 말했다. 그것은 선사받은 보물이다. 내가 가지고 다니는 것은 작은 진리다.

그러나 이 진리는 아이처럼 버릇이 없다. 그래서 내가 그 입을 막지 않으면 너무 큰 소리로 떠들어 댄다.

[...]

“차라투스트라는 여러 가지 흥미로운 말을 했구려. 특히 그 말에 어울릴 만큼 ‘젊은 여자’들을 위해서 말이오.

이상한 일이오. 차라투스트라는 여자에 대해 아는 게 거의 없는데도 여자에 대해 맞는 말을 하다니 말이야! 여자에게는 어떠한 일도 불가능하지 않기 때문에 그런 일이 생긴 것인가?

자, 이제 감사의 표시로 작은 진리를 받으시오! 나는 이 진리를 알 만큼은 늙었지!

이것을 천으로 감싸서 그 입을 막도록 하오. 그러지 않으면 큰 소리로 떠들어 댈 테지, 이 작은 진리가 말이오.”

“노파여, 내게 당신의 작은 진리를 주시오!” 내가 말했다. 그러자 노파가 대답했다.

“여자들에게 간다고? 그럼 회초리를 잊지 말게!”﹥

- 1부 ﹤늙은 여자와 젊은 여자에 대하여﹥ -",,"백승영. (2022). 니체는 이렇게 말했다 : 『차라투스트라는 이렇게 말했다』에 대한 철학적·문학적 해석. 세창출판사.
백승영. (2005). 토픽맵에 기초한, 철학 고전 텍스트들의 체계적 분석 연구와 디지털 철학 지식지도 구축 - 니체『도덕의 계보』. 서울대학교 철학사상연구소.
백승영. (2006). 토픽맵에 기초한, 철학 고전 텍스트들의 체계적 분석 연구와 디지털 철학 지식지도 구축 - 니체『우상의 황혼』. 서울대학교 철학사상연구소.
최상욱. (2015). 차라투스트라는 이렇게 말했다 메타포로 읽기. 서광사.
이상범 L. S. (2020). 니체의 철학적 메타포 ’춤(Tanz)’에 대한 텍스트 내재적 분석. 철학연구, 151–177.
강용수. (2007). 니체의 『차라투스트라는 이렇게 말했다』의 밧줄에 대한 은유적 해석 - 춤의 공간적 구조에 대한 분석을 중심으로. 니체연구, 12, 171–199.
이진우, 『인생에 한번은 차라투스트라』, 휴머니스트출판그룹, 2020
박찬국, 『차라투스트라, 그에게 삶의 의미를 묻다』, 세창출판사, 2020.
박찬국, 『들뢰즈의『니체와 철학』읽기 』, 세창미디어, 2012.
김상환, 『니체 프로이트 맑스 이후 - 현대 프랑스철학의 쟁점 』, 창비, 2013.",,,"﹤여성과 모성﹥

여성을 모성의 개념으로 해석하면, 수태, 분만, 양육의 은유는 다음과 같다. 수태와 분만은 디오니소스적 수태와 분만을 의미하며, 양육의 목적은 위버멘쉬다.

﹤창조자 자신이 다시 태어날 아이가 되기 위해서는, 먼저 산모가 되어야 하며 해산의 고통을 각오해야 한다. … 내 의지의 생식욕구, 생성욕구… .﹥
- 차라 2부 지복의 섬에서 -

수태와 분만, 양육이 디오니소스적 성격의 은유로 사용된 이유는 그것이 창조를 위한 고통의 필연성과 그 과정에 대한 긍정을 가진 행위기 때문이다. 그리고 이러한 은유가 표현하고자 하는 디오니소스적 수태와 분만은 바로 위버멘쉬의 잉태 과정이다. 이는 생물학적 수태를 넘어 정신적 수태까지를 포괄하는 개념이고, 인간 일반의 실존적 과제인 위버멘쉬로의 자기극복을 표현한다.

우상의 황혼을 참고하면 '디오니소스적'이라는 개념은 헬레네 비의의 '성적 상징'에도 뿌리를 둔다. 디오니소스적이라는 개념이 이러한 상징에 뿌리를 둔다면 니체가 말하는 수태와 분만도 생물학적 기능을 넘어서서 '디오니소스적 수태와 분만'으로 이해할 수 있다.

-﹥ ﹤아이와 혼인에 대하여﹥ 중 '승리를 구가하는 자, 자신을 제어하는 자, 관능의 지배자, 그대의 덕의 주인'
- 수태의 목적은 위버멘쉬의 탄생이다. ﹤아이와 혼인에 대하여﹥ 중 '앞을 향해 자신을, 위를 향해 자신을… 최초의 움직임, 좀 더 높은 신체, 제 힘으로 돌아가는 바퀴…창조하는 자'가 바로 이러한 위버멘쉬를 의미한다. 그런데 위버멘쉬는 완결체가 아니라 지속적 추구의 대상, 실존적 과제다. -﹥ 위버멘쉬가 되기 위해 자기 자신을 잉태하고 그런 존재로 자신을 분만해내는 것이 디오니소스적 수태와 분만이다. 이 의지적 노력의 '지속'이 곧 디오니소스적 수태와 분만의 '권리'를 부여한다. 그래서 디오니소스적 수태와 분만은 가장 '위대한' 권리의 문제이자 가장 위대한 일이기도 하다. 그래서 수태와 분만은 모성의 메타포에 속하지만 여성만의 본질이 아니라 인간 모두의 실존적 과제인 위버멘쉬로의 자기극복을 의미하는 것이다.
",,,,,,,,94f6421eeb854d6381347728cfe65e71,,작은 진리,a89a096b18324be9bdb7de812d8c09b0,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcf6c9a2e71a4acf99dd451bd300dcbb,,여성,242105641b8f4889ae71c5034f2d32b5,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7fd8fc9d3ea842fe8f6fd7695746b8a6,,위버멘쉬(초인),f0d1244d59b045739b4b9983ca200268,,,,,,,,
202,109,0f5c18ab5b1e46419afe9a2c43bc306f,0,사막,0,집필완료,팡민,2023-09-16 22:26:05,2023-09-16 22:26:05,비유,★★★★,f053076c279347b3b50a69a4be0762ca,1,"생명력이 없는 황폐한 공간으로, 기존의 가치에 복종하는 노예 같은 정신이 사는 척박한 삶을 가리킨다. 낙타의 정신은 사막에서 아무런 기쁨도 없이 자신에게 부과된 의무와 계율을 지키는 데만 고독하게 몰두하는 삭막한 삶을 살아간다.",258fc4e1ed5d4e668d7f6152f67d7dee,"﹤혹은 진리의 연못이라면 더럽더라도 그 속으로 뛰어들어 차가운 개구리도 뜨거운 두꺼비도 물리치지 않는 것, 이것이 가장 무거운 짐인가?

혹은 우리를 경멸하는 자들을 사랑하고, 유령이 우리를 위협하더라도 그 유령에게 손을 내미는 것, 이것이 가장 무거운 짐인가?

인내심 많은 정신은 무겁기 그지없는 이 모든 짐을 짊어지고 그의 사막을 달려간다. 짐을 가득 실은 채 사막을 달리는 낙타처럼.

하지만 고독하기 그지없는 사막에서 두 번째 변화가 일어난다. 여기에서 정신은 사자가 된다. 정신은 자유를 쟁취하려 하고 사막의 주인이 되고자 한다.﹥

- 1부 세 가지 변화에 대하여 -",,"강용수, 『니체 작품의 재구성』, 세창출판사, 2021.
백승영. (2022). 니체는 이렇게 말했다 : 『차라투스트라는 이렇게 말했다』에 대한 철학적·문학적 해석. 세창출판사.
최상욱. (2015). 차라투스트라는 이렇게 말했다 메타포로 읽기. 서광사.
이상범 L. S. (2020). 니체의 철학적 메타포 ’춤(Tanz)’에 대한 텍스트 내재적 분석. 철학연구, 151–177.
강용수. (2007). 니체의 『차라투스트라는 이렇게 말했다』의 밧줄에 대한 은유적 해석 - 춤의 공간적 구조에 대한 분석을 중심으로. 니체연구, 12, 171–199.
이진우, 『인생에 한번은 차라투스트라』, 휴머니스트출판그룹, 2020
백승영. (2005). 토픽맵에 기초한, 철학 고전 텍스트들의 체계적 분석 연구와 디지털 철학 지식지도 구축 - 니체『도덕의 계보』. 서울대학교 철학사상연구소.
백승영. (2006). 토픽맵에 기초한, 철학 고전 텍스트들의 체계적 분석 연구와 디지털 철학 지식지도 구축 - 니체『우상의 황혼』. 서울대학교 철학사상연구소.
박찬국, 『차라투스트라, 그에게 삶의 의미를 묻다』, 세창출판사, 2020.
박찬국, 『들뢰즈의『니체와 철학』읽기 』, 세창미디어, 2020.
김상환, 『니체 프로이트 맑스 이후 - 현대 프랑스철학의 쟁점 』, 창비, 2013.
진은영, 『니체, 영원회귀와 차이의 철학』, 그린비, 2007.
Friedrich Nietzsche. (2023). 니체, 사랑에 대하여 (울리히 베어 엮음, 최성희 번역). 세창출판사. (원서출판 2020).
최상욱, 『하이데거와 여성적 진리』, 철학과 현실사, 2006.
박찬국, 『해체와 창조의 철학자, 니체』, 동녘, 2001.",,,,,,,,,,,796fd14a55a1496da043fe90a514028a,,낙타,5420170d0e46408785e4ac6d0d90a3da,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d5e2366313043a99837bad68a096dd2,,가장 무거운 짐,ef8b3ef370ff4927ab7c9cfcb843b3f0,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563fcdac0ab04986942065b515de8295,,사자,f38f65c9437140909286c592db46c066,,,,,,,,
